trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
954010,21,3,"DOWNTOWN",,1,6601,shp-21-55,1,1
96070,3,1,"ENTERPRISE SOUTH",,0,4007,shp-3-19,1,1
972010,15,3,"ST. ELMO/INCLINE",,0,2801,shp-15-52,1,2
982020,10G,2,"DOWNTOWN",,1,102,shp-10G-54,1,1
991010,9,3,"DOWNTOWN",,1,8901,shp-9-51,1,1
993070,33,1,"TREMONT + FRAZIER",,0,4207,shp-33-53,1,2
994070,4,1,"EASTGATE HAMILTON PL",,0,6507,shp-4-10,1,1
996010,33,3,"TREMONT + FRAZIER",,0,5101,shp-33-53,1,2
997020,33,2,"TREMONT + FRAZIER",,0,4402,shp-33-53,1,2
999020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
1273020,33,2,"TREMONT + FRAZIER",,0,4402,shp-33-53,1,2
1280020,28,2,"CHATTANOOGA STATE",,0,3902,shp-28-01,1,1
1292020,33,2,"SHUTTLE PARK SOUTH",,1,4402,shp-33-04,1,2
1304020,10A,2,"DOWNTOWN",,1,202,shp-10A-52,1,1
1312020,16,2,"DOWNTOWN",,1,9602,shp-16-20,1,1
1320020,14,2,"MOCS EXPRESS",,0,1202,shp-14-52,1,1
1323070,9,1,"DOWNTOWN",,1,8907,shp-9-51,1,1
1332010,34,3,"SHUTTLE PARK SOUTH",,1,5301,shp-34-04,1,2
1344070,14,1,"MOCS EXPRESS",,0,1607,shp-14-51,1,1
1346020,33,2,"SHUTTLE PARK SOUTH",,1,5002,shp-33-04,1,2
1347020,10G,2,"GLENWOOD",,0,2402,shp-10G-04,1,1
1353020,15,2,"ST. ELMO/INCLINE",,0,2602,shp-15-52,1,2
1362070,16,1,"DOWNTOWN",,1,9007,shp-16-20,1,1
1369070,21,1,"GOLDEN GATEWAY",,0,3607,shp-21-02,1,1
1373070,4,1,"DOWNTOWN",,1,5607,shp-4-64,1,1
1374020,33,2,"TREMONT + FRAZIER",,0,4802,shp-33-53,1,2
1425020,9,2,"DOWNTOWN",,1,9502,shp-9-51,1,1
1428070,34,1,"SHUTTLE PARK SOUTH",,1,5307,shp-34-04,1,2
1429070,9,1,"DOWNTOWN",,1,8907,shp-9-51,1,1
1446070,4,1,"HAMILTON PLACE / DOWNTOWN",,1,6507,shp-4-72,1,1
1452070,33,1,"SHUTTLE PARK SOUTH",,1,4907,shp-33-04,1,2
1455010,33,3,"SHUTTLE PARK SOUTH",,1,5201,shp-33-04,1,2
1457010,33,3,"TREMONT + FRAZIER",,0,5201,shp-33-53,1,2
146070,33,1,"TREMONT + FRAZIER",,0,4307,shp-33-53,1,2
1462020,10A,2,"DOWNTOWN",,1,302,shp-10A-52,1,1
1465070,9,1,"DOWNTOWN",,1,9907,shp-9-51,1,1
1470020,33,2,"TREMONT + FRAZIER",,0,4802,shp-33-53,1,2
1483020,1,2,"DOWNTOWN",,1,2502,shp-1-66,1,1
1487070,9,1,"DOWNTOWN",,1,9607,shp-9-52,1,1
1488070,10A,1,"DOWNTOWN",,1,2107,shp-10A-52,1,1
1490070,33,1,"TREMONT + FRAZIER",,0,5107,shp-33-53,1,2
1492010,33,3,"SHUTTLE PARK SOUTH",,1,4201,shp-33-04,1,2
1495070,10G,1,"DOWNTOWN",,1,407,shp-10G-54,1,1
1500010,21,3,"DOWNTOWN",,1,5701,shp-21-53,1,1
1510070,16,1,"NORTHGATE",,0,9807,shp-16-13,1,1
1517020,1,2,"DOWNTOWN",,1,302,shp-1-66,1,1
1518020,2,2,"NORTH SHORE",,0,3302,shp-2-51,1,2
152070,33,1,"SHUTTLE PARK SOUTH",,1,5007,shp-33-04,1,2
153020,14,2,"MOCS EXPRESS",,1,1302,shp-14-04,1,1
1544020,4,2,"EASTGATE HAMILTON PL",,1,5602,shp-4-70,1,1
1556020,1,2,"ALTON PARK",,0,202,shp-1-03,1,1
156070,21,1,"GOLDEN GATEWAY",,0,3407,shp-21-01,1,1
1564020,4,2,"DOWNTOWN",,1,6702,shp-4-64,1,1
1573020,33,2,"SHUTTLE PARK SOUTH",,1,4802,shp-33-04,1,2
1577020,14,2,"MOCS EXPRESS",,0,1402,shp-14-52,1,1
1580020,15,2,"ST. ELMO/INCLINE",,1,1802,shp-15-01,1,2
1582020,21,2,"GOLDEN GATEWAY",,0,3402,shp-21-01,1,1
1613020,9,2,"DOWNTOWN",,1,8702,shp-9-51,1,1
1619070,10A,1,"AVONDALE UTC",,0,2907,shp-10A-01,1,1
1621020,10A,2,"AVONDALE UTC",,0,2902,shp-10A-01,1,1
1622070,2,1,"NORTH SHORE",,0,3307,shp-2-51,1,2
1627010,4,3,"EASTGATE HAMILTON PL",,1,6801,shp-4-70,1,1
1628070,15,1,"ST. ELMO/INCLINE",,0,1907,shp-15-52,1,2
1645070,33,1,"SHUTTLE PARK SOUTH",,1,4907,shp-33-04,1,2
1647070,33,1,"TREMONT + FRAZIER",,0,4307,shp-33-53,1,2
